Date,Actual,ARIMA_Pred,SARIMA_Pred
2021-03-10 23:59:59,56008.54940114,11880.661079293493,11462.631374944613
2021-03-11 23:59:59,57805.12301924,11880.661079293493,11463.113992366953
2021-03-12 23:59:59,57332.08896391,11880.661079293493,11462.213088709346
2021-03-13 23:59:59,61243.08476552,11880.661079293493,11461.199235109878
2021-03-14 23:59:59,59302.31697742,11880.661079293493,11461.709570757219
2021-03-15 23:59:59,55907.20022619,11880.661079293493,11462.591167319833
2021-03-16 23:59:59,56804.90123161,11880.661079293493,11462.77625900756
2021-03-17 23:59:59,58870.89333325,11880.661079293493,11461.677798130864
2021-03-18 23:59:59,57858.92070527,11880.661079293493,11461.020489851871
2021-03-19 23:59:59,58346.65297359,11880.661079293493,11461.630130592037
2021-03-20 23:59:59,58313.64260857,11880.661079293493,11462.509319259403
2021-03-21 23:59:59,57523.42098673,11880.661079293493,11462.514621349092
2021-03-22 23:59:59,54529.14561107,11880.661079293493,11461.369020480222
2021-03-23 23:59:59,54738.94493032,11880.661079293493,11460.957253777511
2021-03-24 23:59:59,52774.26369049,11880.661079293493,11461.56083349913
2021-03-25 23:59:59,51704.1619252,11880.661079293493,11462.343939931632
2021-03-26 23:59:59,55137.31372578,11880.661079293493,11462.075016930006
2021-03-27 23:59:59,55973.51084173,11880.661079293493,11461.12297364886
2021-03-28 23:59:59,55950.7457745,11880.661079293493,11461.006294814466
2021-03-29 23:59:59,57750.19987147,11880.661079293493,11461.61211780826
2021-03-30 23:59:59,58917.6930451,11880.661079293493,11462.192723014792
2021-03-31 23:59:59,58918.83271375,11880.661079293493,11461.667737673619
2021-04-01 23:59:59,59095.80797806,11880.661079293493,11460.898870901692
2021-04-02 23:59:59,59384.3133586,11880.661079293493,11460.930905241736
2021-04-03 23:59:59,57603.88917376,11880.661079293493,11461.640005993062
2021-04-04 23:59:59,58758.55629127,11880.661079293493,11462.072642106625
2021-04-05 23:59:59,59057.87896588,11880.661079293493,11461.402046925788
2021-04-06 23:59:59,58192.35868406,11880.661079293493,11460.768195024582
